policy,docs_screened,screened_fraction,recall,positives_found,wss@95_if_reached,strategy,seed
oracle_target_recall_95,222,0.74,0.9534883720930233,41,0.20999999999999996,asreview_prior_1p1n,11
oracle_target_recall_90,218,0.7266666666666667,0.9069767441860465,39,,asreview_prior_1p1n,11
no_hit_window_50,280,0.9333333333333333,0.9767441860465116,42,0.016666666666666607,asreview_prior_1p1n,11
safe_like_upper_remaining<=1,280,0.9333333333333333,0.9767441860465116,42,0.016666666666666607,asreview_prior_1p1n,11
safe_like_and_no_hit_50,280,0.9333333333333333,0.9767441860465116,42,0.016666666666666607,asreview_prior_1p1n,11
oracle_target_recall_95,212,0.7066666666666667,0.9534883720930233,41,0.2433333333333333,asreview_prior_1p1n,19
oracle_target_recall_90,184,0.6133333333333333,0.9069767441860465,39,,asreview_prior_1p1n,19
no_hit_window_50,300,1.0,1.0,43,-0.050000000000000044,asreview_prior_1p1n,19
safe_like_upper_remaining<=1,291,0.97,1.0,43,-0.020000000000000018,asreview_prior_1p1n,19
safe_like_and_no_hit_50,300,1.0,1.0,43,-0.050000000000000044,asreview_prior_1p1n,19
oracle_target_recall_95,227,0.7566666666666667,0.9534883720930233,41,0.19333333333333325,asreview_prior_1p1n,42
oracle_target_recall_90,218,0.7266666666666667,0.9069767441860465,39,,asreview_prior_1p1n,42
no_hit_window_50,300,1.0,1.0,43,-0.050000000000000044,asreview_prior_1p1n,42
safe_like_upper_remaining<=1,291,0.97,1.0,43,-0.020000000000000018,asreview_prior_1p1n,42
safe_like_and_no_hit_50,300,1.0,1.0,43,-0.050000000000000044,asreview_prior_1p1n,42
oracle_target_recall_95,222,0.74,0.9534883720930233,41,0.20999999999999996,asreview_prior_1p1n,77
oracle_target_recall_90,191,0.6366666666666667,0.9069767441860465,39,,asreview_prior_1p1n,77
no_hit_window_50,300,1.0,1.0,43,-0.050000000000000044,asreview_prior_1p1n,77
safe_like_upper_remaining<=1,287,0.9566666666666667,1.0,43,-0.00666666666666671,asreview_prior_1p1n,77
safe_like_and_no_hit_50,300,1.0,1.0,43,-0.050000000000000044,asreview_prior_1p1n,77
oracle_target_recall_95,221,0.7366666666666667,0.9534883720930233,41,0.21333333333333326,asreview_prior_1p1n,2026
oracle_target_recall_90,173,0.5766666666666667,0.9069767441860465,39,,asreview_prior_1p1n,2026
no_hit_window_50,300,1.0,1.0,43,-0.050000000000000044,asreview_prior_1p1n,2026
