scenario_id,threshold_policy,target_recall,baseline_docs_screened,baseline_recall,additional_docs_requested,additional_docs_effective,total_docs,cap_reached,prevalence_band,prevalence,total_relevant_assumed
recall_target_90__low__plus_50,recall_target_90,0.9,197,0.9069767441860466,50,50,300,False,low,0.1,30
recall_target_90__low__plus_100,recall_target_90,0.9,197,0.9069767441860466,100,100,300,False,low,0.1,30
recall_target_90__low__plus_200,recall_target_90,0.9,197,0.9069767441860466,200,103,300,True,low,0.1,30
recall_target_90__low__plus_400,recall_target_90,0.9,197,0.9069767441860466,400,103,300,True,low,0.1,30
recall_target_90__medium__plus_50,recall_target_90,0.9,197,0.9069767441860466,50,50,300,False,medium,0.14333333333333334,43
recall_target_90__medium__plus_100,recall_target_90,0.9,197,0.9069767441860466,100,100,300,False,medium,0.14333333333333334,43
recall_target_90__medium__plus_200,recall_target_90,0.9,197,0.9069767441860466,200,103,300,True,medium,0.14333333333333334,43
recall_target_90__medium__plus_400,recall_target_90,0.9,197,0.9069767441860466,400,103,300,True,medium,0.14333333333333334,43
recall_target_90__high__plus_50,recall_target_90,0.9,197,0.9069767441860466,50,50,300,False,high,0.2,60
recall_target_90__high__plus_100,recall_target_90,0.9,197,0.9069767441860466,100,100,300,False,high,0.2,60
recall_target_90__high__plus_200,recall_target_90,0.9,197,0.9069767441860466,200,103,300,True,high,0.2,60
recall_target_90__high__plus_400,recall_target_90,0.9,197,0.9069767441860466,400,103,300,True,high,0.2,60
recall_target_95__low__plus_50,recall_target_95,0.95,221,0.9534883720930234,50,50,300,False,low,0.1,30
recall_target_95__low__plus_100,recall_target_95,0.95,221,0.9534883720930234,100,79,300,True,low,0.1,30
recall_target_95__low__plus_200,recall_target_95,0.95,221,0.9534883720930234,200,79,300,True,low,0.1,30
recall_target_95__low__plus_400,recall_target_95,0.95,221,0.9534883720930234,400,79,300,True,low,0.1,30
recall_target_95__medium__plus_50,recall_target_95,0.95,221,0.9534883720930234,50,50,300,False,medium,0.14333333333333334,43
recall_target_95__medium__plus_100,recall_target_95,0.95,221,0.9534883720930234,100,79,300,True,medium,0.14333333333333334,43
recall_target_95__medium__plus_200,recall_target_95,0.95,221,0.9534883720930234,200,79,300,True,medium,0.14333333333333334,43
recall_target_95__medium__plus_400,recall_target_95,0.95,221,0.9534883720930234,400,79,300,True,medium,0.14333333333333334,43
recall_target_95__high__plus_50,recall_target_95,0.95,221,0.9534883720930234,50,50,300,False,high,0.2,60
recall_target_95__high__plus_100,recall_target_95,0.95,221,0.9534883720930234,100,79,300,True,high,0.2,60
recall_target_95__high__plus_200,recall_target_95,0.95,221,0.9534883720930234,200,79,300,True,high,0.2,60
recall_target_95__high__plus_400,recall_target_95,0.95,221,0.9534883720930234,400,79,300,True,high,0.2,60
